atype,phase_of_flt,state,height,speed,effect,sky,species,birds_struck,month_of_the_year,season
ATR-42,Approach,Middle Atlantic,100.0,135.0,None,Overcast,RED-TAILED HAWK,1,April,Spring
B-747-1/200,Climb,Pacific,3000.0,180.0,None,No Cloud,SWALLOWS,1,September,Fall
B-727-200,Climb,West South Central,25.0,150.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
UNKNOWN,Climb,South Atlantic,20.0,110.0,None,Overcast,GULLS,1,September,Fall
B-727,Landing Roll,West North Central,0.0,105.0,None,Some Cloud,BLACKBIRDS,2-10,June,Summer
DHC7 DASH 7,Approach,East North Central,10.0,106.0,None,Some Cloud,AMERICAN KESTREL,1,August,Summer
PA-46 MALIBU,Descent,South Atlantic,3000.0,140.0,Engine Shut Down,Some Cloud,UNKNOWN BIRD,1,November,Fall
B-737,Take-off run,Pacific,0.0,120.0,None,Some Cloud,KILLDEER,1,August,Summer
SAAB-340,Approach,East South Central,15.0,115.0,None,Overcast,UNKNOWN BIRD - LARGE,2-10,July,Summer
C-310,Landing Roll,East North Central,0.0,105.0,None,Some Cloud,GULLS,2-10,July,Summer
SHORTS 360,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,11-100,July,Summer
B-727-200,Approach,South Atlantic,3.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
BE-300 KING,Take-off run,South Atlantic,0.0,120.0,None,Some Cloud,EGRETS,2-10,November,Fall
MD-80,Take-off run,South Atlantic,0.0,140.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-727,Approach,West North Central,3000.0,230.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,October,Fall
B-737-200,Landing Roll,East South Central,0.0,120.0,None,Overcast,UNKNOWN BIRD - LARGE,1,January,Winter
B-737-200,Approach,Pacific,400.0,130.0,None,Some Cloud,BALD EAGLE,1,March,Spring
C-152,Approach,East North Central,10.0,135.0,None,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
B-727-200,Approach,Middle Atlantic,50.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
C-152,Climb,East South Central,10.0,75.0,Precautionary Landing,Overcast,HAWKS,1,July,Summer
B-727-200,Climb,South Atlantic,1300.0,200.0,Precautionary Landing,Some Cloud,GULLS,1,November,Fall
B-727,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
MD-80,Take-off run,South Atlantic,0.0,90.0,Aborted Take-off,Overcast,UNKNOWN BIRD - MEDIUM,2-10,August,Summer
B-737,Approach,Pacific,300.0,135.0,None,No Cloud,NORTHERN ROUGH-WINGED SWALLOW,1,August,Summer
B-737-300,Approach,South Atlantic,10.0,135.0,None,Overcast,SPARROWS,1,August,Summer
B-727,Approach,East South Central,200.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-737-300,Approach,New England,300.0,135.0,None,Overcast,UNKNOWN BIRD,1,October,Fall
BE-200 KING,Taxi,New England,0.0,12.5,None,Some Cloud,SPARROWS,1,July,Summer
BE-58  BARON,Climb,East North Central,100.0,120.0,Precautionary Landing,No Cloud,RED-TAILED HAWK,1,June,Summer
B-727,Approach,Middle Atlantic,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
B-727-200,Take-off run,East North Central,0.0,100.0,Aborted Take-off,Some Cloud,GULLS,1,August,Summer
SA227 AC METRO III,Climb,West North Central,200.0,160.0,Precautionary Landing,No Cloud,EUROPEAN STARLING,2-10,March,Spring
C-180,En Route,Pacific,1000.0,120.0,None,No Cloud,BALD EAGLE,1,May,Spring
C-182 SKYLAN,Approach,Mountain,10.0,70.0,None,No Cloud,GULLS,1,July,Summer
B-767-200,Landing Roll,Pacific,0.0,130.0,None,Overcast,TERNS,1,July,Summer
B-737,Climb,East North Central,3000.0,230.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
B-727-200,Approach,East North Central,3000.0,135.0,Other,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
MD-80,Climb,West North Central,100.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,July,Summer
DC-8,Landing Roll,Middle Atlantic,0.0,105.0,None,Some Cloud,GULLS,1,October,Fall
BE-58  BARON,Landing Roll,New England,0.0,85.0,None,Overcast,CANADA GOOSE,2-10,December,Winter
C-414,Take-off run,East North Central,0.0,120.0,Aborted Take-off,No Cloud,UNKNOWN BIRD - LARGE,1,March,Spring
MD-80,Take-off run,East North Central,0.0,80.0,Aborted Take-off,No Cloud,EUROPEAN STARLING,2-10,August,Summer
FK-100,Approach,East North Central,1600.0,170.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,November,Fall
B-747-400,Approach,Pacific,1700.0,170.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
EMB-120,Descent,South Atlantic,3400.0,200.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,November,Fall
PA-44 SEMINOLE,Take-off run,South Atlantic,0.0,120.0,Aborted Take-off,Overcast,EGRETS,2-10,December,Winter
B-737-300,Approach,Pacific,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,December,Winter
B-727,Take-off run,West South Central,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
DHC8 DASH 8,Take-off run,East North Central,0.0,120.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,April,Spring
B-737,Approach,South Atlantic,2000.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-737,Take-off run,Mountain,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
B-727,Climb,East North Central,3000.0,210.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
EMB-120,Approach,South Atlantic,10.0,100.0,None,Overcast,GULLS,1,May,Spring
C-195,Approach,Mountain,450.0,85.0,None,Some Cloud,WESTERN MEADOWLARK,1,May,Spring
PA-23-250,Approach,East North Central,30.0,90.0,None,Some Cloud,GULLS,2-10,August,Summer
B-727,Approach,East North Central,200.0,145.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
CITATION II,Approach,West South Central,4000.0,200.0,None,Overcast,"DUCKS, GEESE, SWANS",2-10,February,Winter
B-727,Approach,West South Central,400.0,155.0,None,Overcast,EUROPEAN STARLING,1,September,Fall
B-737-200,Climb,East North Central,20.0,155.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
FK-28-1000,Approach,South Atlantic,15.0,135.0,None,Some Cloud,MALLARD,1,June,Summer
B-727-100,Approach,Mountain,5600.0,120.0,None,No Cloud,SPARROWS,2-10,February,Winter
B-737-200,Climb,Mountain,20.0,150.0,Precautionary Landing,Some Cloud,HAWKS,1,May,Spring
PA-28,Climb,Pacific,200.0,70.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
MERLIN IV,Approach,East South Central,1500.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-727-200,Landing Roll,Middle Atlantic,0.0,120.0,None,No Cloud,GULLS,1,April,Spring
B-727-200,Take-off run,South Atlantic,0.0,130.0,None,Some Cloud,ROCK PIGEON,1,June,Summer
PA-60 601,Climb,West North Central,25.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,September,Fall
EMB-120,Climb,South Atlantic,1400.0,170.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
B-747,Landing Roll,New England,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
DC-10,Approach,Middle Atlantic,30.0,125.0,None,Some Cloud,EUROPEAN STARLING,2-10,November,Fall
ATR-42,Climb,South Atlantic,6000.0,180.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
PA-32,Climb,Middle Atlantic,15.0,70.0,None,Some Cloud,ROCK PIGEON,1,June,Summer
FK-100,Approach,Middle Atlantic,50.0,140.0,None,Some Cloud,GULLS,1,April,Spring
DC-9-80,Approach,West South Central,400.0,130.0,None,No Cloud,BLACKBIRDS,1,August,Summer
AEROS 355,En Route,Middle Atlantic,400.0,125.0,Precautionary Landing,No Cloud,GULLS,1,November,Fall
DC-10-30,Approach,Middle Atlantic,300.0,135.0,None,Overcast,HERRING GULL,2-10,October,Fall
DC-9,Approach,East South Central,1100.0,135.0,None,Overcast,DUCKS,1,November,Fall
BE-300 KING,Take-off run,New England,0.0,100.0,None,No Cloud,GULLS,1,October,Fall
B-727-100,Take-off run,West South Central,0.0,100.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-757-200,Approach,Pacific,100.0,130.0,None,No Cloud,GULLS,2-10,December,Winter
C-414,Approach,Pacific,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
B-737-200,Climb,Mountain,7500.0,230.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
SA227 AC METRO III,Take-off run,West North Central,0.0,80.0,Aborted Take-off,No Cloud,GULLS,2-10,August,Summer
DC-9,Landing Roll,Mountain,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
L-1011,Approach,Pacific,2200.0,180.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
BA-31 JETSTR,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,No Cloud,WHITE-TAILED DEER,1,October,Fall
CURTIS C-46,Climb,Pacific,300.0,150.0,None,Overcast,ARCTIC TERN,2-10,July,Summer
B-737-200,Take-off run,Unknown,0.0,80.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
B-727,Landing Roll,South Atlantic,0.0,119.0,None,No Cloud,GULLS,1,April,Spring
B-737-200,Approach,West North Central,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
SAAB-340,Approach,East South Central,100.0,100.0,None,No Cloud,MOURNING DOVE,2-10,April,Spring
MD-80,Descent,Pacific,10500.0,270.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
B-727,Climb,East South Central,6000.0,250.0,None,Overcast,UNKNOWN BIRD - LARGE,1,November,Fall
B-737-300,Climb,Pacific,200.0,160.0,Precautionary Landing,Some Cloud,GULLS,2-10,October,Fall
MD-80,Approach,West South Central,50.0,130.0,None,Overcast,MOURNING DOVE,1,August,Summer
BE-1900,Approach,West North Central,1500.0,160.0,None,Some Cloud,BARN SWALLOW,1,May,Spring
FK-100,Landing Roll,West North Central,0.0,100.0,None,No Cloud,HAWKS,1,November,Fall
BE-1900,Approach,Middle Atlantic,50.0,100.0,None,Some Cloud,GULLS,2-10,September,Fall
B-727-200,Approach,Middle Atlantic,3.0,140.0,None,Some Cloud,LAUGHING GULL,1,August,Summer
B-727,Approach,West South Central,200.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,March,Spring
MD-80,Approach,Pacific,300.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
DC-9-30,Climb,Unknown,10500.0,280.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
PA-28,En Route,New England,2000.0,120.0,None,Some Cloud,CROWS,1,September,Fall
B-727,Approach,South Atlantic,300.0,140.0,None,Some Cloud,BLACKBIRDS,1,September,Fall
DC-9-40,En Route,West North Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
SOCATA TB9,Take-off run,New England,0.0,55.0,Precautionary Landing,Some Cloud,GULLS,1,August,Summer
B-737-200,Approach,Mountain,2000.0,190.0,None,No Cloud,DUCKS,11-100,September,Fall
B-727,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
EMB-120,Landing Roll,West South Central,0.0,80.0,None,Overcast,UNKNOWN BIRD - SMALL,1,December,Winter
DC-9,Climb,Middle Atlantic,50.0,140.0,None,Overcast,GULLS,1,December,Winter
B-757-200,Climb,West South Central,10.0,150.0,Precautionary Landing,Overcast,RING-BILLED GULL,11-100,December,Winter
SAAB-340,Approach,South Atlantic,20.0,120.0,None,Some Cloud,MOURNING DOVE,1,July,Summer
MD-88,Approach,East South Central,200.0,135.0,Other,Some Cloud,BLACKBIRDS,1,October,Fall
B-757-200,Approach,East South Central,2100.0,170.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
DC-9-30,Approach,South Atlantic,1000.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,October,Fall
DC-9-80,Approach,East North Central,400.0,140.0,None,No Cloud,AMERICAN KESTREL,1,July,Summer
DHC8 DASH 8,Approach,Middle Atlantic,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,October,Fall
MD-82,Climb,East North Central,500.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
BA-31 JETSTR,Approach,Pacific,800.0,140.0,None,Some Cloud,CANADA GOOSE,2-10,November,Fall
B-757-200,Approach,New England,700.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,December,Winter
