opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
NAE,NASHVILLE EAGLE,SHORTS 360,BODY NOT RECOVERED.,Descent,9/29/1992 0:00:00,NY,2500.0,190.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,BE-200 KING,BIRD APPEARED TO BE ROOSTING ON RWY FOR THE NIGHT.,Landing Roll,4/21/1990 0:00:00,MD,0.0,80.0,None,Overcast,GULLS,1
AMW,AIR MIDWEST,BA-31 JETSTR,"RADOME DENTED IN 6"" DEEP 8"" DIAMETER. NOT REPARABLE, RADAR DISH  UNDAMAGED.",Descent,9/9/1990 0:00:00,IN,4500.0,245.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,HIT BELOW WINDSHLD ON RT SIDE.,Climb,10/18/1993 0:00:00,NY,100.0,160.0,None,No Cloud,SPARROWS,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9,"7 MI N OF ARPT. # BIRDS STRUCK NOT REPTD, ASSUME 1.",Approach,9/28/1993 0:00:00,FL,4000.0,210.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,,Approach,9/3/1993 0:00:00,TX,5000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,B-727,,Landing Roll,4/29/1992 0:00:00,,0.0,80.0,None,Some Cloud,PARROTS,1
BLR,ATLANTIC COAST AIRLINES,EMB-120,"NOT A GULL, SMALL, WHITE WATER TYPE BIRD, SOME TYPE OF TERN",Approach,3/24/1992 0:00:00,DC,50.0,125.0,None,No Cloud,TERNS,1
NAE,NASHVILLE EAGLE,SHORTS 360,,Approach,10/1/1993 0:00:00,NC,200.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,"FLT 1423 REPTD STRIKES ON F/O'S WINDSHLD, SLIDING  & REAR  WINDOWS. POSSIBLE STRIKES ELSEWHERE. FEATHERS FOUND IN #2 ENG.  A/C TAKEN OUT OF SERVICE. NO INJURIES. DAMAGE UNKN. TIME =  1144CST",Take-off run,6/1/1992 0:00:00,TX,0.0,150.0,Aborted Take-off,Some Cloud,ROCK PIGEON,2-10
USA,US AIRWAYS,DC-9,LOWER LEFT CORNER OF RADOME STRUCK WITH NO DAMAGE. ATIS WARNING.,Landing Roll,7/26/1991 0:00:00,NJ,0.0,100.0,None,Some Cloud,LAUGHING GULL,1
USA,US AIRWAYS,MD-80,PILOT FILED OWN REPT THRU COMPANY. ATIS WARNING. FLT 2082.,Approach,9/20/1993 0:00:00,NJ,3000.0,210.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,C-650,,Approach,7/15/1993 0:00:00,PA,50.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UPS,UPS AIRLINES,B-727,PERFORMED MAINT. INSPN. NO DAMAGE FOUND.,Approach,9/20/1991 0:00:00,VA,2000.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,POSSIBLE BIRD STRIKE DURING T/O.  NO SUSPECTED DAMAGE.,Take-off run,7/3/1993 0:00:00,PA,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
GAA,BUSINESS EXPRESS,BE-1900,"FLT 876.  NO OBSVD DAMAGE TO A/C, ONLY ENTRAILS.",Approach,8/12/1992 0:00:00,NY,500.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
COA,CONTINENTAL AIRLINES,DC-9-30,NO DAMAGE,Climb,9/2/1991 0:00:00,PA,40.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,A-300,NO DAMAGE,Approach,12/17/1990 0:00:00,NY,1000.0,140.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,STRUCK LOWER RT. RADOME---NO DAMAGE.,Approach,10/22/1990 0:00:00,GA,250.0,133.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
COM,COMAIR AIRLINES,SAAB-340,PILOT STATED NO DAMAGE TO A/C THEY THINK THAT MAYBE THEY DID  NOT HIT HIM.,Landing Roll,11/13/1990 0:00:00,TN,0.0,105.0,None,No Cloud,OWLS,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE,Approach,2/7/1992 0:00:00,FL,1500.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
QXE,HORIZON AIR,FK-28-1000,FLT 2208 REPTD A BIRD STRIKE ON FINAL APCH.  NO DAMAGE TO WING  LEADING EDGE IN THE 2157 MDT INCIDENT.,Approach,5/1/1992 0:00:00,ID,300.0,135.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,C-172,"LOCAL FLT, 1 PAX, 2 GEESE STRUCK A/C ON LEFT BASE LEG. 1 DAMAGED  RT WING OUTBOARD OF STRUT, 1 HIT RT FRONT ENG COWLING & CONTD  AFT, & BROKE WINDSHLD, BENT MAGNETIC COMPASS & DAMAGED  CABIN SPEAKER, BROKE COCKPIT LIGHTPANEL. PILOT HAD 5 STITCHES,  PAX UNINJURED. EVASIVE ACTION TAKEN - PILOT DIVED AFTER SEEING  GEESE IN FRONT OF A/C. TIME = 0350Z.",Approach,10/18/1991 0:00:00,NE,500.0,90.0,Precautionary Landing,No Cloud,CANADA GOOSE,2-10
UAL,UNITED AIRLINES,B-737,NO DAMAGE,Landing Roll,2/13/1994 0:00:00,CT,0.0,105.0,None,Overcast,GULLS,1
USA,US AIRWAYS,B-737-200,NO DAMAGE,Approach,9/17/1993 0:00:00,MO,1000.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,PA-28,EFFECT ON FLT = FLY-BY TOWER FOR GEAR CHECK,Climb,8/2/1990 0:00:00,MI,20.0,80.0,Other,No Cloud,GULLS,1
ASQ,ATLANTIC SOUTHEAST,EMB-120,"FLT 301. NO DAMAGE, NO BIRD ACTIVITY OBSERVED BY THE TWR.",Approach,8/2/1990 0:00:00,TN,2000.0,120.0,None,Some Cloud,BLACKBIRDS,1
USA,US AIRWAYS,B-737-200,"EXTENT, IF ANY, OF ENGINE DAMAGE NOT KNOWN AT THIS TIME.",Climb,5/12/1991 0:00:00,OH,200.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
HNA,HENSON,DHC8 DASH 8,BIRD STRUCK JUST BELOW WINSHIELD AND HIT WIPER FRAME.  NO  DAMAGE. TIME = 0820 LCL. FLT 4312.,Approach,2/20/1991 0:00:00,FL,100.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,,Take-off run,8/4/1993 0:00:00,TX,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
COA,CONTINENTAL AIRLINES,B-737-300,NO DAMAGE/INJURIES. TIME = 0925LCL,Approach,5/1/1991 0:00:00,NY,10.0,127.0,None,Overcast,GULLS,1
USA,US AIRWAYS,B-737-200,,Climb,11/26/1993 0:00:00,FL,200.0,150.0,Precautionary Landing,No Cloud,GULLS,1
BUS,BUSINESS,CITATION II,TIME = 1001 EST. A/C LANDED W/O INCIDENT.  NO DAMAGE FOUND. DEPTD  W/O INCIDENT.,Climb,10/25/1992 0:00:00,CT,10.0,150.0,Precautionary Landing,No Cloud,GULLS,2-10
BUS,BUSINESS,C-152,,Approach,10/2/1991 0:00:00,NE,4.0,65.0,Engine Shut Down,Some Cloud,BLACKBIRDS,2-10
UAL,UNITED AIRLINES,B-737-300,FLT 204. NO DAMAGE.,Approach,6/30/1992 0:00:00,VA,10.0,120.0,None,No Cloud,SPARROWS,2-10
AAL,AMERICAN AIRLINES,MD-87,NO DAMAGE DETECTED BY MAINT.,Climb,8/13/1990 0:00:00,UT,200.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,MOONEY-20J,,Approach,7/31/1993 0:00:00,NY,20.0,80.0,None,Some Cloud,AMERICAN ROBIN,1
USA,US AIRWAYS,B-737-300,NO DAMAGE/INJURY. TIME = 0000Z.FLT 1158.,Climb,11/14/1991 0:00:00,DC,5000.0,250.0,None,Some Cloud,GULLS,1
UAL,UNITED AIRLINES,B-737-500,"FLOCK OF SEAGULLS (# NOT REPTD, ASSUME 2-10). MULTIPLE STRIKES. RETURNED TO GATE. MX INSPECT. NO DAMAGE.  PAX LATER COMPLAINED OF NECK PAINS EVEN THOUGH THE ABORT WAS SMOOTH.",Take-off run,3/5/1995 0:00:00,OK,0.0,130.0,Aborted Take-off,,GULLS,2-10
AAL,AMERICAN AIRLINES,B-727-200,"SMALL, BROWN BIRD, POSSIBLY DOVE. ONLY RESIDUE ON WINDSHLD WIPER  & WINDSHLD, F/O'S SIDE.",Landing Roll,6/30/1992 0:00:00,TX,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
LOF,TRANS STATES AIRLINES,BA-31 JETSTR,"DARK, NEVER SAW BIRD UNTIL IMPACT. SUSPECT PHEASANT - ARPT HAS  HAD PROBLEMS WITH THEM IN THE PAST.",Landing Roll,6/16/1991 0:00:00,IL,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
COA,CONTINENTAL AIRLINES,DC-9-30,"TYPICAL OVER REACTION BY ALL CONCERNED:1. NEXT PLANE GOT TOWER ORDER TO GO AROUND 2. FIRE TRUCKS EMEG. VEH SCRAMBLED 3. MAINT, OPS & PORT AUTHORITY ACTED AS THOUGH THERE WAS A  ""MAJOR"" CATASTROPHE. 4. I ACKNOWLEDGE THIS RESPONSE IS BETTER THAN AN UNDER REACTION.",Landing Roll,10/13/1991 0:00:00,NY,0.0,100.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-727-200,NO. 2 ENGINE CHANGE,Landing Roll,11/18/1990 0:00:00,TX,0.0,140.0,None,No Cloud,UNKNOWN BIRD,1
AWE,AMERICA WEST AIRLINES,B-757-200,"4-5 GULLS INGESTED IN RT ENG, 1 IN L ENG. NO MENTION OF BIRDS ON  ARRIVAL ATIS OR BY TWR.  FLOCK TOOK OFF FROM GRASS ADJACENT TO  RWY AS WE DESCENDED THROUGH 100'. FLOCK WAS ONLY THEN VISIBLE AS  IT TOOK OFF. LOGAN NEEDS BETTER WARNING SYSTEM FOR POSSIBLE BIRD  ACTIVITY NEAR RWYS & MORE IMPORTANTLY A ""CHASE-OFF"" SYSTEM. NO  ENG DAMAGE. EVENT #214. DEBRIS DOWN BY-PASS IN #1 ENG. 3 BIRDS  HIT FAN, 1-2 DOWN CORE IN ENG #2.",Approach,6/18/1990 0:00:00,MA,100.0,130.0,None,No Cloud,HERRING GULL,2-10
DAL,DELTA AIR LINES,B-727-200,NO DAMAGE,Landing Roll,7/11/1990 0:00:00,NY,0.0,120.0,None,Overcast,SPARROWS,1
BUS,BUSINESS,PA-31 NAVAJO,"RT WING OTBD OF ENGINE, DE-ICE BOOT, AND STALL VANE DAMAGED.",Climb,10/12/1990 0:00:00,IN,800.0,140.0,None,Some Cloud,TURKEY VULTURE,1
PVT,PRIVATELY OWNED,C-172,,Take-off run,1/30/1991 0:00:00,NV,0.0,80.0,None,No Cloud,BARN OWL,1
MDW,MIDWAY AIRLINES,UNKNOWN,HIT BIRD ON ROTATION. NO DAMAGE.,Climb,10/4/1990 0:00:00,MI,8.0,150.0,None,Some Cloud,GULLS,1
UAL,UNITED AIRLINES,B-737,TIME = 0225Z. UA 572,Approach,10/17/1991 0:00:00,,600.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-737-200,INGESTED 2 BIRDS IN THE #1 ENGINE ON THE FLARE. ALL ENG INDICATIONS NORMAL. BOROSCOPE INSPEC ON ENGINE. NO DAMAGE.,Landing Roll,6/10/1996 0:00:00,OH,0.0,105.0,Other,,UNKNOWN BIRD,2-10
USA,US AIRWAYS,B-737-200,,Climb,10/13/1990 0:00:00,FL,7500.0,250.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,C-150,,Approach,8/15/1993 0:00:00,IA,30.0,65.0,None,Overcast,BLACKBIRDS,1
FLG,PINNACLE (FORMERLY EXPSAIRL 1),BA-31 JETSTR,"BIRD STRIKE TO #2 ENG, ABORTED T/O, RETD TO GATE.",Take-off run,9/18/1993 0:00:00,AR,0.0,120.0,Aborted Take-off,,UNKNOWN BIRD,1
UPS,UPS AIRLINES,B-727,FLT 1142,Approach,5/17/1990 0:00:00,NY,500.0,135.0,None,Some Cloud,OWLS,1
GPE,GP EXPRESS AIRLINES,BE-99,ATIS WARNING,En Route,11/6/1990 0:00:00,NE,7000.0,180.0,Precautionary Landing,Overcast,UNKNOWN BIRD - LARGE,2-10
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-40,BIRD STRIKE ON CAPT'S  LOWER(DV WINDOW.  INSPECTED IAW BIRD  STRIKE.,Approach,8/31/1993 0:00:00,KS,300.0,135.0,None,,UNKNOWN BIRD,1
ABL,AIR BC,DHC8 DASH 8,CAPT REPTD NO DAMAGE TO A/C.  STRIKE WAS 5 N OF SEATAC,Approach,8/8/1993 0:00:00,WA,3000.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
NWA,NORTHWEST AIRLINES,DC-10-40,LARGE FLOCK MIGRATING.  BIRD INGESTED IN #3 ENG BUT NO APPARENT  DAMAGE.  (EDITOR NOTE:  NOT SURE HOW MANY BIRDS HIT AS OLD  VERSION OF 5200-7 DOESN'T DIFFERENTIATE BETWEEN # SEEN AND #  HIT.),Landing Roll,9/13/1992 0:00:00,CA,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,Over 100
AAL,AMERICAN AIRLINES,B-727,A/C REG = 846,Climb,1/3/1992 0:00:00,FL,500.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
HAL,HAWAIIAN AIR,L-1011,LIGHT GROUND FOG,Approach,8/12/1990 0:00:00,CA,300.0,135.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,RAIN AND FOG.,Approach,1/1/1994 0:00:00,TN,100.0,135.0,None,Overcast,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),NAMC YS-11A,,En Route,10/2/1993 0:00:00,IL,2500.0,130.0,None,,UNKNOWN BIRD,1
CTL,CENTRAL AIR SOUTHWEST,RKWL SHRIKE,EXTENT OF DAMAGE NOT REPTD.,Approach,8/31/1993 0:00:00,NE,400.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
EME,METRO EXPRESS,UNKNOWN,NO DAMAGE/INJURIES.,Approach,1/10/1991 0:00:00,GA,200.0,135.0,None,Overcast,EUROPEAN STARLING,2-10
USA,US AIRWAYS,B-737,FLT 2301,Take-off run,9/30/1990 0:00:00,NY,0.0,120.0,None,Overcast,GULLS,2-10
COA,CONTINENTAL AIRLINES,MD-80,"FLT 326. # BIRDS STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Approach,10/24/1990 0:00:00,NJ,4000.0,160.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
HAL,HAWAIIAN AIR,DC-9-50,TIME = 1740 HST.,Climb,7/2/1993 0:00:00,HI,50.0,150.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,FK-28-4000,"FLT766 STRUCK 4 GULLS AT 0736 EST. NO DAMAGE WAS REPTD & A/C CONT  TO PITTSBURG, PA.",Take-off run,11/1/1991 0:00:00,MA,0.0,120.0,None,Overcast,GULLS,2-10
AAL,AMERICAN AIRLINES,FK-100,HIT BIRD ON DEPTR. NO REPTD DAMAGE.  FLT CONTD W/O FURTHER  INCIDENT.,Take-off run,9/6/1993 0:00:00,LA,0.0,120.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-727,REPTD STRIKE ON 8 MI FINAL. NO APPARENT DAMAGE. FLT LANDED SAFELY  AT 2018C. FLT 1531.,Approach,9/3/1993 0:00:00,TX,3000.0,135.0,None,,UNKNOWN BIRD,1
SWA,SOUTHWEST AIRLINES,B-737-200,"SEVERAL STRIKES TO A/C, ENGINE #2 INGESTED SEVERAL WITH ENSUING COMPRESSOR STALLS.  HIT A FLOCK, ASSUME 2-10.",Take-off run,8/23/1990 0:00:00,IN,0.0,95.0,Other,No Cloud,MOURNING DOVE,2-10
PVT,PRIVATELY OWNED,C-152,"NO DAMAGE, LANDING LT ON.",Approach,8/13/1993 0:00:00,CA,500.0,70.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
